STT,Tên doanh nghiệp,Địa chỉ,Tên sản phẩm,Mã hồ sơ,Nhóm sản phẩm,Ngày công bố,Ghi chú
36099,CÔNG TY TNHH THƯƠNG MẠI THẾ HỆ TRẺ,"Lô 3, Số 33A, Ngách 30, Ngõ 267, đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội",Bình giữ nhiệt bằng thép không gỉ hiệu Nuby,20.09.100.22749,,29-09-2020,
36100,Công ty Cổ phần Đầu tư Thương mại Goldmalt,"b04-l09, biệt thự an phú, kđt mới dương nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội",Cao hoa bia Hallertau  Herkules - CO2-extract (Hallertau  Herkules),20.09.100.22748,,28-09-2020,
36101,CÔNG TY TNHH XUẤT NHẬP KHẨU THƯƠNG MẠI HOA THỊNH,"số 16 ngách 75 ngõ 167 đường quang tiến, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội",Túi đựng bánh mỳ,20.09.100.22747,,7/10/2020,
36102,CÔNG TY TNHH CBD-PHARM,"nhà số 1  ngõ 88 đường chợ bằng, thôn bình vọng, Xã Văn Bình, Huyện Thường Tín, Thành phố Hà Nội",Thực phẩm bổ sung MEDRIPHARM,20.09.100.22743,,29-09-2020,
36103,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẨM BA ĐÌNH,"Số 39, Phố Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội",Phụ gia thực phẩm: CARRAGEENAN COMPOUND POWDER A8,20.09.100.22742,,30-09-2020,
36104,CÔNG TY TNHH TẬP ĐOÀN DINH DƯỠNG BEONE,"Số 52 Bà Triệu, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội",NGŨ CỐC DINH DƯỠNG BEONE,20.09.100.22737,,29-09-2020,
36105,CÔNG TY TNHH MUSCLE FOOD VIỆT NAM,"tầng 2, khối văn phòng, tòa hh1, tòa nhà meco complex, ngõ 102, đường trường chinh, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội",THỰC PHẨM BỔ SUNG NUTRABOLICS HYDROPURE PEACH MANGO SMOOTHIE,20.09.100.22733,,28-09-2020,
36107,CÔNG TY TNHH DV VÀ XNK NGOC LINH,"số 12 ngõ 105/7 đường nguyễn công hoan , Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội",Sâm Ngọc Linh Mật Ong,20.09.100.22731,,29-09-2020,
36110,Công ty TNHH Bake Group,"số 42 nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",Túi đóng gói bánh mì,20.09.100.22726,,5/10/2020,
36111,Công ty TNHH Thương Mại và Xuất Nhập Khẩu VIHABA,"số 10, ngách 16, ngõ 91 lương đình của, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội",Chén giấy,20.09.100.22725,,28-09-2020,
