Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH OLED VIỆT NAM,0313942922,Mã số thuế: 0313942922,"79/9 Âu Cơ , Phường 14, Quận 11, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ĐẠI VIỆT TÍN,0312693624,Mã số thuế: 0312693624,"379 Tô Ký, Phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN PHÁT TRIỂN CÔNG NGHỆ VÀ KỸ THUẬT LED,0314468776,Mã số thuế: 0314468776,"1105 Tạ Quang Bửu, Phường 6, Quận 8, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU DMA LIGHTING,0312832518,Mã số thuế: 0312832518,"Số 29/15/6 Đường Liên Khu 10-11, khu phố 11, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH G.POWER VIỆT NAM,0313995829,Mã số thuế: 0313995829,"23/28A Đường Khiếu Năng Tĩnh, Phường An Lạc A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN ROBOLED,0314190111,Mã số thuế: 0314190111,"93/10/3 Nguyễn Du, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI MÁNG ĐÈN VÀ ĐÈN ÁP TRẦN AN ĐẠT THẦN,0312068557,Mã số thuế: 0312068557,"0366 Ấp Kinh Dưới, Xã Bình Ân, Huyện Gò Công Đông, Tỉnh Tiền Giang, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THIẾT BỊ ĐIỆN KIM PHÁT,0313210069,Mã số thuế: 0313210069,"148/16 đường số 6, khu phố 6, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THIẾT BỊ ĐIỆN HẠNH PHÚC,0318284635,Mã số thuế: 0318284635,"247/7 Hà Huy Giáp, Khu phố 3A, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TAM HỢP THỊNH,0312237389-001,Mã số thuế: 0312237389-001,"57 Đường 21D, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN CƠ ĐIỆN GIA ĐỊNH EMIK,0311946015,Mã số thuế: 0311946015,"Số 194/11C đường Bạch Đằng, Phường 24, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH FREE LIGHT,0314697293,Mã số thuế: 0314697293,"01 Hòa Minh 14, Phường Hoà Minh, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHIỆP HOÀI ANH,0312520879,Mã số thuế: 0312520879,"142/34 Đường TA 16, Khu phố 2, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ SG MẠNH HÙNG,0311897008,Mã số thuế: 0311897008,"Số 104/63 Đường số 18, Khu phố 2, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI KHANG BÌNH,0313643376,Mã số thuế: 0313643376,"1/10 đường Quách Văn Tuấn, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
